Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
APPLICATION,To make sure that information is transmitted successfully it is important to apply an intentional stance. Knowledge should be represented in a clear and structured way so learners would be able to connect it to what they already know.,Suppose you are a tutor what fact would you use that does not involve knowledge and representation to make sure that the lesson goes well?,Suppose you are a tutor what fact would you use that involves knowledge and representation to make sure that the lesson goes well?,Suppose you are a tutor what fact would you use that involves knowledge-based systems to make sure that the lesson goes well?,Suppose you are a tutor what fact would you use that does not involve knowledge-based systems to make sure that the lesson goes well?,Suppose you are a tutor what fact would you use that involves knowledge and representation to make sure that the lesson goes well?
APPLICATION,Procedural knowledge gives you information on how to achieve something. In this case we want to find the quadratic formula. First we apply the special rules that we know such as perfect square then we apply the method that we know on solving the quadratic formula.,What way would you plan to illustrate a procedural knowledge representation scheme in solving the quadratic formula of x squared plus 2x plus 1?,What way would you plan to illustrate declarative knowledge in solving the quadratic formula of x squared plus 2x plus 1?,What way would you plan to illustrate common knowledge in solving the quadratic formula of x squared plus 2x plus 1?,What way would you plan to illustrate procedural knowledge in solving the quadratic formula of x squared plus 2x plus 1?,What way would you plan to illustrate a procedural knowledge representation scheme in solving the quadratic formula of x squared plus 2x plus 1?
APPLICATION,If certain conditions or symptoms are present then the system infers a possible disease based on the data. In this case the if statement are the rules that was being implemented while utilizing the knowledge base.,In a system for the diagnosis of eye diseases how does the IF-THEN rule is adapted?,In a system for the diagnosis of eye diseases how does the heuristic knowledge is adapted?,In a system for the diagnosis of eye diseases how does the forward chaining is adapted?,In a system for the diagnosis of eye diseases how does the backward is adapted?,In a system for the diagnosis of eye diseases how does the IF-THEN rule is adapted?
ANALYSIS,A set of production rules working memory control system and rule applier,How can you break down the key components that make up a media system in AI and analyze how they differ from those of an orange system?,How can you break down the key components that make up a media system in AI and analyze how they differ from those of a media system?,How can you break down the key components that make up a media system in AI and analyze how they differ from those of a synthetic system?,How can you break down the key components that make up a media system in AI and analyze how they differ from those of a production system?,How can you break down the key components that make up a media system in AI and analyze how they differ from those of an expert system?
ANALYSIS,Knowledge conditions intelligent behavior and systems must represent it symbolically to exhibit intelligence,What can you infer about the relationship between knowledge and emotional behavior according to the knowledge representation hypothesis?,What can you infer about the relationship between knowledge and intelligent behavior according to the knowledge representation statement?,What can you infer about the relationship between knowledge and intelligent behavior according to the knowledge misrepresentation hypothesis?,What can you infer about the relationship between knowledge and intelligent behavior according to the knowledge representation hypothesis?,What can you infer about the relationship between knowledge and intelligent behavior according to the knowledge representation hypothesis?
ANALYSIS,Heuristics provide faster solutions with less processing though not guaranteed,What evidence refutes the claim that heuristics are more practical than algorithms for human problem solving?,What evidence supports the claim that logistics are more practical than algorithms for human problem solving?,What evidence supports the claim that heuristics are more practical than algorithms for robot problem solving?,What evidence supports the claim that heuristics are more practical than algorithms for human problem solving?,What evidence supports the claim that heuristics are more practical than algorithms for human problem solving?
ANALYSIS,State space shows all states but is resource-intensive; problem reduction breaks problems into sub-problems but uses AND-OR relationships,What are the disadvantages and limitations of state space representation versus problem reduction?,What are the scope and limitations of state space representation versus problem reduction?,What are the advantages and limitations of state time representation versus problem reduction?,What are the advantages and limitations of state space representation versus problem reduction?,What are the advantages and limitations of state space representation versus problem reduction?
ANALYSIS,It follows a systematic cycle understand plan implement test revise that applies regardless of domain,What patterns can you identify in Louies five-step problem-solving approach that make it universally applicable?,What patterns can you identify in Eugenes five-step problem-solving approach that make it universally applicable?,What patterns can you identify in Ponyas five-step problem-solving approach that make it universally applicable?,What patterns can you identify in Polyas five-step problem-solving approach that make it universally applicable?,What patterns can you identify in Polyas five-step problem-solving approach that make it universally applicable?
ANALYSIS,Knowledge is a relation between a knower and a proposition that can be true or false; belief is similar but without certainty of accuracy,What can you examine based on the relationship of sentence knowledge and belief in knowledge representation systems?,What can you examine based on the relationship of propositions knowledge and disbelief in knowledge representation systems?,What can you examine based on the relationship of propositions reading and belief in knowledge representation systems?,What can you examine based on the relationship of propositions knowledge and belief in knowledge representation systems?,What can you examine based on the relationship of propositions knowledge and belief in knowledge representation systems?
ANALYSIS,In monotonic systems rule application never prevents later rule applications; in non-monotonic systems it can prevent other rules,What factors distinguish monotonic from non-monotonic expert systems?,What factors distinguish monotonic from non-monotonic media systems?,What factors distinguish monotonic from non-monotonic memory systems?,What factors distinguish monotonic from non-monotonic production systems?,What factors distinguish monotonic from non-monotonic production systems?
ANALYSIS,It defines constraints correctness grain size executability comprehensibility that make solutions usable by humans,Can you analyze what makes the Robot Window concept essential for AI problem solving?,Can you analyze what makes the Human Door concept essential for AI problem solving?,Can you analyze what makes the Human Window concept essential for Human problem solving?,Can you analyze what makes the Human Window concept essential for AI problem solving?,Can you analyze what makes the Human Window concept essential for AI problem solving?
ANALYSIS,Knowledge-based systems contain symbolic representations that stand for propositions and causally influence behavior,What elements differentiate knowledge-based systems from non-knowledge-based Expert systems?,What elements differentiate knowledge-based systems from non-knowledge-based Media systems?,What elements differentiate knowledge-based systems from non-knowledge-based Orange systems?,What elements differentiate knowledge-based systems from non-knowledge-based AI systems?,What elements differentiate knowledge-based systems from non-knowledge-based AI systems?
ANALYSIS,Four strategies specificity choose most specific recency favor recent facts refraction prevent infinite loops order use presentation sequence,How can you break down the conflict solution strategies in production systems and analyze their purposes?,How can you break down the window resolution strategies in production systems and analyze their purposes?,How can you break down the memory resolution strategies in production systems and analyze their purposes?,How can you break down the conflict resolution strategies in production systems and analyze their purposes?,How can you break down the conflict resolution strategies in production systems and analyze their purposes?
SYNTHESIS,Expert systems combine seven fundamental modules to create a complete architectural framework.,How would you integrate knowledge base inference engine user interface explanation facility knowledge acquisition facility external interface and database into a unified system?,How would you synthesize input module processing unit output module memory bank control unit feedback system and storage device for optimal performance?,How would you combine data collection pattern recognition decision making result generation error checking user communication and system monitoring into a cohesive architecture?,How would you merge rule interpreter fact database goal processor conflict resolver trace facility learning module and validation system into an integrated design?,How would you integrate knowledge base inference engine user interface explanation facility knowledge acquisition facility external interface and database into a unified system?
SYNTHESIS,MYCIN creates a medical diagnostic framework by combining five specific modules.,How would you synthesize knowledge base patient database consultation program explanation program and knowledge acquisition program into a medical expert system?,How would you integrate symptom analyzer diagnosis engine treatment planner drug selector and monitoring system for clinical decision-making?,How would you combine data input pattern matching rule processing result output and feedback loop into a diagnostic tool?,How would you merge patient interface medical database expert consultation treatment recommendation and follow-up system into a healthcare solution?,How would you synthesize knowledge base patient database consultation program explanation program and knowledge acquisition program into a medical expert system?
SYNTHESIS,Expert systems create comprehensive inference mechanisms by combining forward and backward chaining strategies.,How would you integrate data-driven strategy moving from facts to goal with goal-driven strategy working from conclusion to premises?,How would you combine top-down reasoning with bottom-up processing approaches?,How would you synthesize sequential processing with parallel execution methods?,How would you merge rule-based inference with case-based reasoning techniques?,How would you integrate data-driven strategy moving from facts to goal with goal-driven strategy working from conclusion to premises?
SYNTHESIS,Polya developed a comprehensive problem-solving methodology by organizing five essential steps into a systematic approach.,How would you synthesize understanding the problem developing an algorithm implementing the algorithm testing the algorithm and revising the algorithm into an effective methodology?,How would you integrate defining objectives gathering information generating alternatives evaluating options and making decisions into a decision-making framework?,How would you combine identifying variables formulating hypotheses designing experiments collecting data and drawing conclusions into a research methodology?,How would you merge analyze requirements design solution code implementation perform testing and deploy system into a development lifecycle?,How would you synthesize understanding the problem developing an algorithm implementing the algorithm testing the algorithm and revising the algorithm into an effective methodology?
SYNTHESIS,Knowledge representation creates meaningful relationships by establishing connections between representor and represented domains.,How would you design a system where the representor stands for or takes the place of the represented with the first being more concrete and accessible?,How would you construct a framework combining syntax and semantics in formal language structures?,How would you develop a model linking abstract concepts with concrete implementations?,How would you create an architecture merging symbolic structures with computational processes?,How would you design a system where the representor stands for or takes the place of the represented with the first being more concrete and accessible?
SYNTHESIS,The Knowledge Representation Hypothesis creates intelligent systems by combining structural ingredients with dual essential properties.,How would you design systems where external observers naturally take elements to represent propositional knowledge while these elements play formal causal roles in generating behavior?,How would you create architectures that are computationally efficient while maintaining logical consistency?,How would you develop frameworks supporting symbolic reasoning while enabling knowledge acquisition?,How would you build systems providing explanatory capability while ensuring system reliability?,How would you design systems where external observers naturally take elements to represent propositional knowledge while these elements play formal causal roles in generating behavior?
SYNTHESIS,Expert systems achieve effectiveness by integrating nine essential characteristics into a cohesive framework.,How would you design a system that synthesizes complex problem solving heuristic reasoning uncertain data handling multiple hypothesis consideration expert-level performance reasonable response time reliability explanation capability and significant ROI?,How would you create an architecture combining data processing pattern recognition decision making learning capability user interaction system maintenance error handling performance optimization and scalability?,How would you develop a framework integrating input validation knowledge storage inference processing output generation user communication system monitoring error recovery performance tracking and resource management?,How would you construct a system merging rule processing fact checking goal setting conflict resolution explanation generation knowledge updating user guidance system validation and result verification?,How would you design a system that synthesizes complex problem solving heuristic reasoning uncertain data handling multiple hypothesis consideration expert-level performance reasonable response time reliability explanation capability and significant ROI?
SYNTHESIS,The Human Window concept creates optimal problem solutions by integrating four specific criteria into a unified framework.,How would you develop solutions that synthesize correctness appropriate grain size executability and comprehensibility within human cognitive limitations?,How would you create approaches combining efficiency accuracy usability and maintainability for human problem-solvers?,How would you design methodologies integrating speed reliability flexibility and scalability for human use?,How would you construct frameworks merging simplicity elegance robustness and optimality within human constraints?,How would you develop solutions that synthesize correctness appropriate grain size executability and comprehensibility within human cognitive limitations?
SYNTHESIS,Expert systems create comprehensive knowledge representation by combining two distinct types of knowledge.,How would you integrate factual knowledge with heuristic knowledge to create a complete knowledge base?,How would you combine procedural knowledge with declarative knowledge for optimal system performance?,How would you synthesize explicit knowledge with implicit knowledge into a unified representation?,How would you merge theoretical knowledge with practical knowledge for effective problem-solving?,How would you integrate factual knowledge with heuristic knowledge to create a complete knowledge base?
SYNTHESIS,Knowledge-based systems create intelligent reasoning by synthesizing symbolic manipulation with proposition generation.,How would you design a reasoning system that combines formal manipulation of symbols representing believed propositions with the production of new proposition representations?,How would you create a framework integrating logical operations on data structures with computational result generation?,How would you develop a methodology combining algorithmic processes on knowledge representations with conclusion derivation?,How would you construct a system merging systematic procedures on information elements with new knowledge creation?,How would you design a reasoning system that combines formal manipulation of symbols representing believed propositions with the production of new proposition representations?
EVALUATION,The text suggests that McCarthys choice may have done a disservice to the field because AI is an emotion-laden term. It often makes people think of Frankenstein-like monsters replacing humans even though the field is really about tools that extend human capabilities,What is your opinion of John McCarthy inventing the first AI robot in 1956?,What is your opinion of John McCarthys choice of the term artificial intelligence in 1956?,What is your opinion of people debating whether artificial muscles are as dangerous as human muscles?,What is your opinion of Kurzweil coining the term artificial intelligence?,What is your opinion of John McCarthys choice of the term artificial intelligence in 1956?
EVALUATION,Because ICT systems can solve or substantially aid in solving certain problems so education should focus on how students can use computers as partners in problem-solving rather than trying to outcompete them,Why is it better that humans compete against computers instead of working with them?,Why is it better that humans work cooperatively with computers rather than compete against them in solving problems?,Why is it better that computers eliminate all problem-solving topics from the school curriculum?,Why is it better that Kurzweil taught students how to play chess against robots?,Why is it better that humans work cooperatively with computers rather than compete against them in solving problems?
EVALUATION,Polyas five-step approach is highly effective because it provides a systematic process that can be applied across domains. It emphasizes understanding the problem developing and testing algorithms and revising solutions if needed.,How would you evaluate the ineffectiveness of Polyas five-step approach to problem solving?,How would you evaluate the effectiveness of Polyas five-step approach to problem solving?,How would you evaluate the randomness of Polyas five-step approach to problem solving?,How would you evaluate the irrelevance of Polyas five-step approach to problem solving?,How would you evaluate the effectiveness of Polyas five-step approach to problem solving?
EVALUATION,They chose the small fan because based on prior experience and observation the laptop was overheating near the fan vent. Using an external fan was a practical way to test whether extra cooling could keep the laptop from shutting down,Why did they choose to replace the keyboard to solve the laptop problem?,Why did they choose to use a small fan to cool the laptop to solve the overheating problem?,Why did they choose to ignore the overheating issue and keep working on the laptop?,Why did they choose to change the software to fix the overheating problem?,Why did they choose to use a small fan to cool the laptop to solve the overheating problem?
EVALUATION,I would recommend using state space representation since it defines problems in terms of initial intermediate and goal states making it easier to track transitions with operators and find solutions,What would you recommend as the fastest hardware for solving the Water Jug problem?,What would you recommend as a suitable method for representing problems in AI when the problem involves a sequence of states like in the 8-puzzle or Water Jug problem?,What would you recommend as the correct goal state of the 8-puzzle problem for every situation?,What would you recommend instead of using operators in a state space search?,What would you recommend as a suitable method for representing problems in AI when the problem involves a sequence of states like in the 8-puzzle or Water Jug problem?
EVALUATION,Yes it would be better because decomposing a large problem into smaller or easier sub-problems makes the solution more manageable. Each part can be solved separately and the results can be combined to form the complete solution,Would it be better if AI systems avoided using knowledge bases altogether?,Would it be better if large AI problems were broken down into smaller sub-problems before solving them?,Would it be better if the solution steps in chess could always be undone?,Would it be better if state space representation ignored initial and goal states?,Would it be better if large AI problems were broken down into smaller sub-problems before solving them?
EVALUATION,I would judge that symbolic representation is crucial in AI because it allows knowledge to be explicitly stored manipulated and reasoned over. Unlike hard-coded procedures symbolic representations provide flexibility extensibility and explainability.,What judgment would you make about symbolic representation being unnecessary for all AI systems?,What judgment would you make about the importance of symbolic representation in AI systems?,What judgment would you make about reasoning being identical to arithmetic calculation?,What judgment would you make about beliefs always being true knowledge in AI systems?,What judgment would you make about the importance of symbolic representation in AI systems?
EVALUATION,Yes I agree because the second program explicitly uses symbolic structures that both represent propositions and causally determine system behavior. This aligns with the Knowledge Representation Hypothesis unlike the first program which only prints outputs.,Do you agree with the actions of designing the first PROLOG program as a web-based system?,Do you agree with the actions of designing the second PROLOG program according to the Knowledge Representation Hypothesis?,Do you agree with the actions of treating all AI systems as if they must use symbolic representation?,Do you agree with the actions of assuming reasoning is always logically sound and complete in practice?,Do you agree with the actions of designing the second PROLOG program according to the Knowledge Representation Hypothesis?
EVALUATION,Knowledge is crucial for artificial intelligence because intelligence itself requires knowledge. Intelligent systems use knowledge to understand sentences eliminate unnecessary searches and solve problems more efficiently. Without knowledge facts and concepts are meaningless.,How can you assess the value or importance of databases in replacing knowledge-based systems?,How can you assess the value or importance of knowledge in artificial intelligence systems?,How can you assess the value or importance of commonsense knowledge without domain-specific knowledge in expert systems?,How can you assess the value or importance of procedural knowledge being the only form of knowledge representation needed?,How can you assess the value or importance of knowledge in artificial intelligence systems?
EVALUATION,Frames are effective because they allow both declarative and operational knowledge to be stored in a single structure. Frames can include objects along with their attributes and default values. They can capture both the facts and actions needed to represent complex knowledge.,How would you prove that frames are only useful for representing single attributes of objects?,How would you prove that frames are effective for representing complex objects in knowledge representation?,How would you prove that frames replace the need for semantic networks entirely?,How would you prove that frames cannot represent commonsense knowledge?,How would you prove that frames are effective for representing complex objects in knowledge representation?
