Question,Possible Answers,,,,Correct Answer
"It is demonstrated through a combination of abilities to learn, pose problems, and solve problems.",What is being inferred by Intelligence?,What is being inferred by Emotional Intelligence?,What is being inferred byArtificial Intelligence?,What is being inferred by IQ?,What is being inferred by Intelligence?
"It refers to the ability to process emotional information, particularly as it involves the perception, assimilation,
understanding, and management of emotion.",What is being inferred by Intelligence?,What is being inferred by Emotional Intelligence?,What is being inferred byArtificial Intelligence?,What is being inferred by IQ?,What is the definition of Emotional Intelligence?
"Human intelligence is important, but it is not the only type of intelligence. Within humans, intellectual ability can be measured and compared using standard tests. In contrast, machine intelligence cannot be assessed in the same way and instead requires a broader understanding of intelligence, since it operates differently from human thought.",How would you compare artificial intelligence to animal intelligence?,How would you compare human intelligence to emotional intelligence?,"How would you compare human intelligence to artificial intelligence? 
.",How would you compare human intelligence to machine learning?,How would you compare human intelligence to other intelligence?
"Water spiders demonstrate intelligence by waiting underwater for passing prey and delivering fatal bites at the right moment, which shows planning and the use of specialized skills.",In what way does the hunting method of the water spider show intelligence?,In what way does the hunting method of the bee show intelligence?,In what way does the hunting method of the chimpanzee show intelligence?,In what way does the hunting method of the human show intelligence?,In what way does the hunting method of the water spider show intelligence?
"It is mainly because brain size, neuron size, and how neurons connect vary a lot across species and even among humans.",Why is it reliable to compare intelligence only by brain size or neuron count?,Why is it reliable to compare intelligence not only by brain size or neuron count?,Why is it not reliable to compare intelligence purely by brain size or neuron count?,Why is it not reliable to compare intelligence only by brain size or neuron count?,Why is it not reliable to compare intelligence only by brain size or neuron count?
Considering senses is important in studying intelligence because the way a being perceives the world depends on senses. Different senses provide different kinds of information.,How can you explain the importance of considering senses when studying intelligence?,How can you explain the importance of not considering senses when studying intelligence?.,How can you explain the importance of considering intelligence when studying senses?.,How can you explain the downside of considering senses when studying intelligence?.,How can you explain the importance of considering senses when studying intelligence?.
"Intelligence is considered subjective because what counts as intelligent depends on the views, social norms and cultural group making a judgement",Can you explain why intelligence is considered as objective?,Can you explain why intelligence is considered as not subjective?,Can you explain why artificial intelligence is considered as subjective?,Can you explain why intelligence is considered as subjective?,Can you explain why intelligence is considered as subjective?.
Definition of Artificial Intelligence,"What is being described as the study of how to make computers do things at which, at the moment, people are better?","What is being described as the study of how to not make computers do things at which, at the moment, people are better?","What is being described as the study of how to make computers do things at which, at the moment, people are not better?","What is being described as the study of how to make computers do things at which, at the moment, people are bad at doing?","What is being described as the study of how to make computers do things at which, at the moment, people are better?"
Learning means adding new knowledge to the knowledge base and improving or refining previous knowledge.,What is meant by Learning?,What is meant byTraining?,What is meant by Memorizing?,What is meant by Practicing?,What is meant by Learning?
"The AI computer built by Minsky and Elmonds was based on a network of the neuron models of McCulloch and Pitts, which shows how theoretical models were applied to create an early form of artificial intelligence.",How did Minsky and Elmonds’ AI computer relate to the neuron models of McCulloch and Pitts?,How did McCulloch and Pitts’ AI computer relate to the neuron models of Minsky and Elmonds?,How did McCulloch’ AI computer relate to the neuron models of Minsky and Elmonds?,How did McCulloch and Elmonds’ AI computer relate to the neuron models of Minsky and Pitts?.,How did Minsky and Elmonds’ AI computer relate to the neuron models of McCulloch and Pitts?
A hospital uses a kind of system for increasing the accuracy of the diagnosis and formulating more detailed conclusions for it.,How can a natural language processing system for patient intake forms enhance the accuracy of the diagnosis and provide best explanations for its conclusions? Provide an example,How can an expert system that simulates the knowledge of medical specialists assist in improving diagnostic accuracy and explain more vividly of its conclusions? Think of an example,How can a robotics system for automating surgery improve the accuracy of diagnoses? Cite a real-life situation,How can a speech recognition system for doctor's notes increase the accuracy of a doctor’s diagnosis? Give a real-life scenario,How can an expert system that simulates the knowledge of medical specialists assist in improving diagnostic accuracy and explain more vividly of its conclusions? Think of an example
"A conservation team uses another kind of system to map a large, remote, and dangerous jungle area to track deforestation.",In what scenario is sending in a team of human researchers on foot be recommended for the task?,Where would it be best in using an AI-powered vision system on a drone or spy plane to capture and interpret images be the most effective tool?,How can implementing a speech recognition system to listen for logging activity be efficient?,In what situation can designing an expert system to theorize where deforestation might occur be the right tool for the task?,Where would it be best in using an AI-powered vision system on a drone or spy plane to capture and interpret images be the most effective tool?
A company wants to develop a customer service chatbot that doesn't just give canned responses but can understand customer complaints and emotions to de-escalate situations.,How can Logical-Mathematical Intelligence be used? Give an example,What application can you give for the use of Emotional Intelligence (EI)?,Where can Spatial Intelligence be utilized? Give a situation,How can you use Linguistic Intelligence to solve real-life problems?,What application can you give for the use of Emotional Intelligence (EI)?
"To build an AI that can truly understand and navigate the complexities of a human home (e.g., make a bed, clean the house), researchers agree it must first acquire a vast amount of unspoken knowledge.",Can Algorithmic Knowledge be the right kind of knowledge to utilize? Provide a scenario,Is it best to use Common-Sense Knowledge to solve this problem? Give an example,How can Heuristic Knowledge be applied in the real world?,Should Numerical Knowledge be used to formulate a solution? Think of a real-life scenario,Is it best to use Common-Sense Knowledge to solve this problem? Give an example
A factory wants to automate its assembly line to perform tasks that are highly repetitive and dangerous for humans. Applying the principles of AI.,How can you use Natural Language Processing in the field of AI?,Where can Expert Systems be used in the field of AI?,What scenario relating to AI can Game Playing be used?,How can Robotics be applied to AI?,How can Robotics be applied to AI?
You are designing a new AI system and want it to improve its own performance over time by adding new knowledge and refining its existing knowledge base.,In what scenario can The Learning element be a main component of?,How can The Knowledge Representation scheme be used?,Where can The Problem Generator be utilized?,In what situation can The Performance element be suitable?,In what scenario can The Learning element be a main component of?
"A research team wants to bring the concept of ""embodiment"" in AI to life.",What would you do if you had a massive database of common-sense facts?,What would you do if you had the ability to process natural language perfectly?,What can a physical or virtual body with sensors to interact with and perceive a world be used for?,What can the use of a neural network with over a billion connections be?,How can a physical or virtual body with sensors to interact with and perceive a world be used?
A developer wants to create a program that can take a description of a chemical compound in English and identify its molecular structure. This goal directly combines two fields of AI.,In what situation can you use Game Playing and Robotics in solving real-life problems?,How can you apply Vision Systems and Speech Recognition in coming up with solutions for real-life incidents?,What can you do with Neural Networks and Heuristic Search in creating solutions?,How can you use Natural Language Processing and Expert Systems to formulate solutions for real-life scenarios?,How can you use Natural Language Processing and Expert Systems to formulate solutions for real-life scenarios?
"To overcome the limitations of a single, standalone computer and create a more powerful form of intelligence, a company decides to network thousands of computers together, allowing them to share memory, processing, and specializations.",How can you use Distributed Intelligence to surpass the limitations of computers?,How can you use The Turing Test to upgrade the potentiality of computers?,What is the best use of the concept of “Embodiment”?,How can an expert System be used to go beyond the limits of computers?,How can you use Distributed Intelligence to surpass the limitations of computers?
"Based on the historical development of AI, which practical approach allowed the field to advance past philosophical arguments and ""toy"" problems by focusing on solving specific, real-world tasks without claiming to fully replicate human thought?

A team consisting of chemists, doctors, and computer scientists use this practical AI approach to identify molecular structures and provide diagnoses.",For what particular scenario are you pushing for computers to pass the Turing Test for?,What can you do with the creation of expert systems for specialized domains like medicine and chemistry?,What scenario can you think of when it comes to improving the development of the LISP programming language?,"If you were to attempt to simulate the entire human brain and your attempt was successful, what situation can you think of that would require this approach to solve its problem?",What can you do with the creation of expert systems for specialized domains like medicine and chemistry?
"Chess has a limited set of simple and well-defined rules, while housekeeping requires a massive amount of ""common-sense"" knowledge.",Can you analyze and discuss the reasons why developing a computer-chess player is easier than creating a computer housekeeper?,Can you analyze the reasons why developing a computer housekeeping is easier than creating a computer chess player?,Can you analyze why computers are more intelligent than humans?,Can you discuss why computers can easily learn housekeeping?,Can you analyze and discuss the reasons why developing a computer-chess player is easier than creating a computer housekeeper?
"The goal of educating a human and a computer is similar because both aim to teach something (human or computer), so that they can develop the ability to apply knowledge for problem-solving .",How is the goal of educating a human different to the goal of artificial intelligence?,How is the goal of educating a human similar to the goal of artificial intelligence?,What is computer and human intelligence?,Why is it important to study human and computer intelligence?,How is the goal of educating a human similar to the goal of artificial intelligence?
"Cognitive intelligence involves abilities like learning, and posing and solving problems, which focuses on intellectual tasks. While emotional intelligence (EI) involves identifying, understanding, managing, and using emotions. Cognitive intelligence is about thinking and reasoning, EI is about handling emotions.",Can you discuss how cognitive intelligence differ from emotional intelligence?,What are the similarities between cognitive intelligence and emotional intelligence,How does artificial intelligence differ from emotional intelligence,How does artificial intelligence differ from cognitive intelligence,Can you discuss how cognitive intelligence differ from emotional intelligence?
"Computers lack intuitive understanding of everyday situations that people naturally acquire through experience. For example, a person knows that you should not move people by pushing them, if you steal something, the owner will be angry. Computers can perform complex calculations but struggle with everyday reasoning.",Why do computers struggle with common-sense knowledge compared to humans?,Why do humans struggle with common-sense knowledge compared to computers?,Why are computers more intelligent than humans?,Why are computers more emotionally intelligent than humans?,Why do computers struggle with common-sense knowledge compared to humans?
"Our senses determine what information we can receive from the world. Human senses only have a limited range of inputs, which restricts our perception of what we consider as intelligent behavior. This is why we assume that beings who sense the world differently from humans are less intelligent. We should not limit intelligence to human senses only, because other creatures or machines with different sensory abilities may perceive things that humans cannot. The success of a being depends on how well it performs in its own environment","How do our senses affect our perception of intelligence, and why should we not limit intelligence to human senses only?","How do our senses affect our perception of intelligence, and why should we limit intelligence to human senses only?",Why do our senses affect our perception?,Why should we limit intelligence to human senses only?,"How do our senses affect our perception of intelligence, and why should we not limit intelligence to human senses only?"
"If the intelligence of aliens is defined by infrared perceptions, then they might not recognize humans as intelligent beings. From an alien standpoint, they might view telephone exchanges or communications networks as the life forms on earth. This shows that intelligence is subjective and is based on how it is being perceived.","From an alien’s viewpoint with a main sensory of infrared signal, how might their judgement of human intelligence differ compared to how humans view intelligence?","From a human’s viewpoint, how might their judgement of human intelligence differ compared to how aliens view intelligence?",How do aliens view intelligence?,Why are aliens more intelligent than humans?,"From an alien’s viewpoint with a main sensory of infrared signal, how might their judgement of human intelligence differ compared to how humans view intelligence?"
"Computers are better in speed, memory storage, and accuracy. They dominate humans when it comes to performing complex calculations quickly. On the other hand, humans dominate in creativity, emotional intelligence, fuzzy logic, common sense, and adaptability.","Compare the characteristics of humans and computers. In what areas do computers dominate humans, and vice versa?",Compare the characteristics of humans and computers.Why are computers more superior than humans?,Compare the characteristics of humans and computers. Why are humans more superior than computers?,Compare the characteristics of humans and computers. Why are computers and humans intelligent?,"Compare the characteristics of humans and computers. In what areas do computers dominate humans, and vice versa?"
"LISP is a symbolic processing language that represents information in lists and manipulates lists to derive information. Prolog uses the syntax of predicate logic to perform symbolic, logical computations. While both are used for AI programming, LISP focuses on symbolic computation, whereas Prolog is used in logic-based computation and reasoning.",In what ways are LISP and Prolog similar and different as programming languages,What are the characteristics of LISP and Prolog?,Why is Prolog better compared to LISP as a programming language?,How are Prolog and LISP connected to one another?,In what ways are LISP and Prolog similar and different as programming languages
"Turing proposed that if a human interrogator in a room cannot identify or distinguish a human and a machine, then the machine can be considered as intelligent. However, the Turing test was criticized since it depends on the person’s subjective judgement and relies on comparison of behavior. Basically, it focuses on identifying or evaluating resemblance rather than truly understanding.",Analyze the Turing Test. How does it evaluate intelligence? Why has it received criticism from philosophers and computer scientists?,Analyze the Turing Test. How does it evaluate intelligence? Why was it praised by philosophers and computer scientists?,Analyze the Turing Test. How does it evaluate intelligence?,Analyze the Turing Test. Can you say that it is a viable method to test intelligence?,Analyze the Turing Test. How does it evaluate intelligence? Why has it received criticism from philosophers and computer scientists?
The idea of AI was sown long before the development of modern computers. The invention of the electric computer in 1941 and the stored computer program in 1949 led to the creation of the field of computer science and AI. The development of AI led to innovations in programming languages and computing methods.,Analyze the relationship between the development of computers and the emergence of AI. How did they influence each other?,Analyze the relationship between the development of computers and the emergence of AI. Why is AI more important than computers?,Analyze the relationship between the development of computers and the emergence of AI. How are they similar to each other?,Analyze the relationship between the development of computers and the emergence of AI. In what areas are they different?,Analyze the relationship between the development of computers and the emergence of AI. How did they influence each other?
Avoiding drug and alcohol during pregnancy,"How would you improve a child's developing intelligence by synthesizing insights from education, health, and environment?","How would you improve a child's developing emotions by synthesizing insights from education, health, and environment?","How would you improve a child's developing taste by synthesizing insights from education, health, and environment?","How would you improve a child's developing sense of smell by synthesizing insights from education, health, and environment?","How would you improve a child's developing intelligence by synthesizing insights from education, health, and environment?"
A person’s IQ score could increase by three points,What would happen if a person drank coffee immediately before taking an IQ test?,What would happen if a person ate an orange before taking an IQ test?,What would happen if a person drank cranberry juice before taking an IQ test?,What would happen if a person drank apple cider before taking an IQ test?,What would happen if a person drank coffee immediately before taking an IQ test?
By asking a human interrogator to interact with both a human and a machine and see if they can tell which is which,How would you test whether a machine can be considered intelligent according to Alan Turing's proposal?,How would you test whether a machine can be considered intelligent according to Edgar Allan Poe's proposal?,How would you test whether a machine can be considered intelligent according to Eugene Esguerra’s proposal?,How would you test whether a machine can be considered intelligent according to Aristotle's proposal?,How would you test whether a machine can be considered intelligent according to Alan Turing's proposal?
Multiple intelligences,Can you propose an alternative to measuring human intelligence with a single IQ number?,Can you propose an alternative to measuring human emotions with a single EQ number?,Can you propose an alternative to measuring human intelligence with two IQ numbers?,Can you propose an alternative to measuring human intelligence with a single EQ number?,Can you propose an alternative to measuring human intelligence with a single IQ number?
The problems in AI systems could not be overcame,Can you predict the outcome if computing power had not continued to follow Moore's Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Murphy's Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Moorey's Law during the 1980s to 1990?,Can you predict the outcome if computing power had not continued to follow Crowel’'s Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Moore's Law during the 1990s to 2000?
Funding and interest in AI declined after promised results and expectations have failed to be realized,"Can you elaborate on the reason why the 1970s became known as the ""Dark Ages"" of AI research?","Can you elaborate on the reason why the 1960s became known as the ""Dark Ages"" of AI research?","Can you elaborate on the reason why the 1950s became known as the ""Dark Ages"" of AI research?","Can you elaborate on the reason why the 1970s became known as the ""Golden Ages"" of AI research?","Can you elaborate on the reason why the 1970s became known as the ""Dark Ages"" of AI research?"
"It was where John McCarthy, Marvin Minsky, and Claude Shannon laid many of the classical foundations of AI",What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1956?,What facts can you compile about the significance of the get together at Holy Cross College in the Philippines in 1956?,What facts can you compile about the significance of the get together at UP Diliman in 1966?,What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1965?,What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1956?
By considering a being's information-processing process and ability to survive autonomously,"What way would you design a fair comparison of intelligence across humans, animals, and machines?","What way would you design a fair comparison of emotional intelligence across humans, animals, and machines?","What way would you design a fair comparison of the sense of smell across humans, animals, and machines?","What way would you design a fair comparison of sense of taste across humans, animals, and machines?","What way would you design a fair comparison of intelligence across humans, animals, and machines?"
They primarily correlate with exam performance rather than truly measuring intelligence,Can you elaborate on the reason why IQ tests are considered problematic as a measure of intelligence?,Can you elaborate on the reason why EQ tests are considered problematic as a measure of intelligence?,Can you elaborate on the reason why IQ tests are considered helpful as a measure of intelligence?,Can you elaborate on the reason why IQ tests are considered problematic as a measure of emotional intelligence?,Can you elaborate on the reason why IQ tests are considered problematic as a measure of intelligence?
By checking if it is being used in specialized fields to help make discoveries and breakthroughs for important problems,How would you test whether a system is an expert system?,How would you test whether a system is a beginner system?,How would you test whether a system is an expert ecosystem?,How would you test whether a system is a hard system?,How would you test whether a system is an expert system?
"Minsky agrees that AI helps us grasp how knowledge is formed and processed, which could redefine how we see humanity.",How would you evaluate that Minsky agrees that computer science and AI allow us to model how knowledge is formed and processed?,How would you evaluate that Minsky agree that AI won’t just be about machines; it will transform our worldview?,How would you defend how we “think and feel” through computer models will help humans reflect on their own identity and possibly even improve themselves.,How would you defend how knowledge will change our views of Humanity and enable us to change ourselves?,How would you defend how knowledge will change our views of Humanity and enable us to change ourselves?
"Horvitz’s 1990 definition that AI is the exploration of methods for solving challenging tasks—like reasoning, diagnosis, language, and planning—is the best fit. This matches modern AI applications such as natural language processing (ChatGPT), visual recognition, and medical AI, which tackle broad, real-world challenges.","How would you defend which definition of AI among Minsky, Newell, Horvitz is most accurate today?",Can you argue that intelligence is the degree to which a system approximates a knowledge-level system is most accurate.,"Can you argue that Minsky’s definition aligns directly with current AI developments, where deep learning, reinforcement learning, and large language models are designed to solve tasks once thought uniquely human.",How will you support that AI’s evolving landscape suggests no single definition is complete without elements of all three.,"How would you defend which definition of AI among Minsky, Newell, Horvitz is most accurate today?"
Separation of philosophical debates from practical AI development in the 1980s helped progress.,Did philosophical issues remain unresolved and detached from practice?,Did the lack of integration leave unanswered theoretical questions?,"Neutral, because the two schools simply proceeded independently without affecting each other directly.",Did the philosophical issues freed AI developers to focus on real-world solutions?,Did the philosophical issues freed AI developers to focus on real-world solutions?
"The effect of wireless technology had the greatest impact on AI development in the 1990s. It enabled distributed intelligence, treating networked computers as one large intelligent brain.",Can you evaluate that wireless technology allows rapid computer-to-computer communication.,How will you support that internet technology enhanced human communication and raised privacy concerns.,"How did wireless technology affect memory and information across networks, creating shared knowledge capacity.",How will you support specialization within networks that allows different systems to contribute unique strengths?,Can you Evaluate that wireless technology allows rapid computer-to-computer communication.
"Distributed intelligence, enabling AI systems to collaborate across global networks.","How did the ability for AI to specialize across networks, creating collective expertise?","How Did the dispersion of memory and knowledge across multiple systems, increasing shared capacity.",Can you Support that cultural and behavioral changes in human communication.,"In evaluating long-term effects, which outcome of wireless networking remains most critical for AI today?","In evaluating long-term effects, which outcome of wireless networking remains most critical for AI today?"
Lack of emotions that guide human decision-making.,"In evaluating the differences between humans and computers, which factor most limits computers from achieving human-like reasoning?",How do you support the statement that programming is a requirement of programming rather than independent learning.,Can you defend that Discrete nature compared to humans’ continuous reasoning.,How does Humans have limited memory size and computers have unlimited memory size,"In evaluating the differences between humans and computers, which factor most limits computers from achieving human-like reasoning?"
Building expert systems to assist users in solving problems.,"If you were to prioritize AI development for immediate industrial application, which goal would be most appropriate?",Does Creating systems that can explain their reasoning to users solve problems?,Can you support developing AI capable of specialized tasks with accuracy?,Can you evaluate that implementing advisory programs supports human decision-making in real time?,"If you were to prioritize AI development for immediate industrial application, which goal would be most appropriate?"
Working in stressful and complex environments where humans struggle is one advantage of AI,"From an evaluative perspective, which advantage shows AI’s greatest value in situations beyond human capacity?",In what way does solving long-term or difficult problems where direct methods fail.,"Can you Provide consistent, error-free outcomes of AI?",Does AI help in performing calculations that exceed human ability?,"From an evaluative perspective, which advantage shows AI’s greatest value in situations beyond human capacity?"
Enabling people to ask questions in their mother tongue and be understood by computers.,"Can you choose the best description of NLP’s primary goal, and justify why it is most important.",How do you Bridge the gap between human communication and machine processing?,How do you defend making computers intelligent enough to understand human speech?,How does allowing computers to produce responses in ordinary human language?,"Can you choose the best description of NLP’s primary goal, and justify why it is most important."
"Modern research findings, and determine which evidence best illustrates the complexity of nature and nurture in shaping intelligence.","In relation to AI, how can you defend that adoption studies in Denmark show stronger resemblance to biological siblings?",How Does the studies showing the environment after birth influences 40–20% of intelligence true,How can you defend that polls showing 10–80% of intelligence attributed to inheritance.,Can you support that research suggesting foetal development accounts for 20% of intelligence?,"In relation to AI, how can you defend that adoption studies in Denmark show stronger resemblance to biological siblings?"
This is the first step in Polya's five-step sequence for problem solving.,"What is ""Understand the problem""?","What is ""Develop an algorithm""?","What is ""Test the algorithm""?","What is ""Revise the algorithm""?","What is ""Understand the problem""?"
"This problem-solving technique involves breaking a problem into smaller, more manageable parts.","What is ""Divide and Conquer""?","What is ""Exhaustive Enumeration""?","What is ""Abduction""?","What is ""Incubation""?","What is ""Divide and Conquer""?"
This method of problem representation defines the problem in the form of states and operators that move between them.,"What is ""State Space Representation""?","What is ""Problem Reduction""?","What is a ""Production System""?","What is a ""Semantic Network""?","What is ""State Space Representation""?"
"In the Water Jug problem, the initial state is typically represented by this pair of numbers.","What is (5, 3)?","What is (0, 1)?","What is (5, 0)?","What is (0, 0)?","What is (0, 0)?"
"This is the name for the relationship between a knower, like John, and a proposition, like ""Mary will come to the party.""","What is ""Logical Entailment""?","What is a ""Propositional Attitude""?","What is the ""Knowledge Representation Hypothesis""?","What is ""Cognitive Penetrability""?","What is a ""Propositional Attitude""?"
Brian Smith's hypothesis stating that intelligent processes are comprised of symbolic structures that represent propositions and cause the system's behavior.,"What is the ""Intentional Stance""?","What is the ""Knowledge Representation Hypothesis""?","What is ""Modus Ponens""?","What is ""Procedural Knowledge""?","What is the ""Intentional Stance""?"
"This type of knowledge is ""compiled"" information about how to perform a task, often expressed as IF-THEN rules.","What is ""Declarative Knowledge""?","What is ""Commonsense Knowledge""?","What is ""Procedural Knowledge""?","What is ""Heuristic Knowledge""?","What is ""Procedural Knowledge""?"
This knowledge representation scheme uses a pattern of interconnected nodes and arcs to represent objects and their relationships.,"What is ""Conceptual Dependency""?","What is a ""Frame""?","What is a ""Script""?","What is a ""Semantic Network""?","What is a ""Semantic Network""?"
This is the name for the organized collection of facts about a system’s domain in an expert system.,"What is the ""Explanation Facility""?","What is the ""Inference Engine""?","What is the ""Knowledge Base""?","What is the ""User Interface""?","What is the ""Knowledge Base""?"
This early influential expert system from Stanford was designed to diagnose blood infections and recommend antibiotic treatments.,"What is ""DENDRAL""?","What is ""PROSPECTOR""?","What is ""MYCIN""?","What is ""EMYCIN""?","What is ""MYCIN""?"
"An algorithm is computationally intensive, involves an exhaustive search, and is always 100% correct, while a heuristic is a rule of thumb that selects promising paths more efficiently but does not guarantee a solution and may sometimes be wrong.",How would you compare an algorithm to a heuristic?,How is an algorithm similar to a heuristic?,How would you describe an algorithm?,How would you classify a heuristic?,How would you compare an algorithm to a heuristic?
"Forward state space search or progression planning moves in the forward direction from the starting state toward the goal state, while backward state space search or regression planning starts from the goal state and works backward to the starting state.",What are the similarities between forward state space search and backward state space?,What is the difference between forward state space search and backward state space?,How can you describe a forward state space search?,How can you describe a backward state space?,What is the difference between forward state space search and backward state space?
Problem solving consists of moving from a given initial situation to a desired goal situation. It is the process of designing and carrying out a set of steps to reach a goal,How can you describe the term problem?,How can you identify a problem?,How can you describe problem solving?,How can you solve a problem?,How can you describe problem solving?
"What is considered a problem is determined by an individual’s knowledge, skills, and experience; a situation that is challenging for one person may be a routine task for another.",How can you define a problem?,How can you solve a problem?,Why is it important to analyze the problem?,Why can the same situation be a problem for a person but not for another person?,Why can the same situation be a problem for a person but not for another person?
Divide and conquer is a problem-solving technique based on the notion of breaking up a Problem into smaller parts,How does greedy approach work?,What are the advantages of using divide and conquer?,How does divide and conquer work?,How does dynamic search work?,How does divide and conquer work?
The Human Window is a region constrained by human memory capabilities and computational limitations,What is being inferred by the human window?,What is being inferred by human,What is being inferred by Intelligence?,What is being inferred by problem solving?,What is being inferred by the human window?
"Knowledge is a relation between a knower and a proposition, where the proposition is an idea expressed by a declarative sentence that can be true or false",How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe knowledge?,How would you describe knowledge?
"Representation is a relationship where one domain (the representor, often a symbol) stands for or takes the place of another, usually more abstract, domain.",How would you describe knowledge?,How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe representation?
Reasoning is the formal manipulation of symbols representing propositions to produce new representations.,How would you describe knowledge?,How would you describe representation?,How would you compare knowledge and representation?,How would you describe reasoning?,How would you describe reasoning?
"Domain-specific knowledge is specialized knowledge required for a particular task and is acquired through training or study, while commonsense knowledge includes all other knowledge that help in reasoning beyond the specific domain",What is the difference between domain-specific knowledge and commonsense knowledge?,What is the difference between knowledge and common sense?,What is the difference between domain knowledge and knowledge?,What is the difference between knowledge and wisdom?,What is the difference between domain-specific knowledge and commonsense knowledge?
"If a carpenter’s team were given better tools, better training and better experience, then they would be able to accomplish their task more efficiently and the overall capabilities of the team would improve.","What would be the result if a carpenter’s team would be provided with better tools, better training and better experience?",What would be the result if a carpenter’s team would be provided only with better tools?,What would be the result if a carpenter’s team would be provided only with better training?,What would be the result if a carpenter’s team would be provided only with better experience?,"What would be the result if a carpenter’s team would be provided with better tools, better training and better experience?"
"First understand the problem: certain computers are known to have problems in their power supply. Develop a plan: Try to test both power supplies. Implement the plan: the plan was executed, then testing the plan through a series of implementations. Lastly is revising the plan knowing that the problem does not lie on the power supply.",How would you use POLYA’s five steps for problem solving on the issue involving a laptop that keeps dying?,How would you fix a bicycle based on Polya’s five steps?,How would you use POLYA’s six steps for problem solving on the issue involving a laptop that keeps dying?,How do you solve all computer problems using Polya's five steps?,How would you use POLYA’s five steps for problem solving on the issue involving a laptop that keeps dying?
"Tic-tac-toe has a finite number of possible games. Using the problem solving strategy of exhaustive enumeration, the possibilities for “win”, “draw”, and “loss” in tic-tac-toe can fairly easily be determined.",How would you apply the problem solving techniques in solving different possibilities of events in a tic-tac-toe game?,How would you use contradiction in solving different possibilities of events in a tic-tac-toe game?,How would you use divide and conquer in solving different possibilities of events in a tic-tac-toe game?,How would you use induction in solving different possibilities of events in a tic-tac-toe game?,How would you apply the problem solving techniques in solving different possibilities of events in a tic-tac-toe game?
By applying this problem solving strategy it will be much more manageable to travel to Miami by breaking the trip into four segments of 5 hours each rather than driving 20 hours straight.,What would happen if you use divide and conquer on driving to Miami with an estimated time of 20 hours?,What would happen if you use contradiction on driving to Miami with an estimated time of 20 hours?,What would happen if you use enumeration on driving to Miami with an estimated time of 20 hours?,What would happen if you use induction on driving to Miami with an estimated time of 20 hours?,What would happen if you use divide and conquer on driving to Miami with an estimated time of 20 hours?
"To solve the problem, it is ideal to break it down into smaller portions and solve each by applying some specific rules. By adding the results of these individual solutions, the complete solutions can be obtained.",Isx2 +sin(2x)+cos(2x)dxsolvable?,What way would you plan to solve x2 +sin(2x)+cos(2x)dx?,How can you relatex2 +sin(2x)+cos(2x)dxto problem solving?,Is problem solving applicable to solve x2 +sin(2x)+cos(2x)dx?,What way would you plan to solve x2 +sin(2x)+cos(2x)dx?
