Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer
APPLICATION,A company wants to develop a customer service chatbot that doesn't just give canned responses but can understand customer complaints and emotions to de-escalate situations.,How can Logical-Mathematical Intelligence be used?,What application can you give for the use of Emotional Intelligence?,Where can Spatial Intelligence be utilized?,How can you use Linguistic Intelligence to solve real-life problems?,What application can you give for the use of Emotional Intelligence?
APPLICATION,To build an AI that can truly understand and navigate the complexities of a human home researchers agree it must first acquire a vast amount of unspoken knowledge.,Can Algorithmic Knowledge be the right kind of knowledge to utilize?,Is it best to use Common-Sense Knowledge to solve this problem?,How can Heuristic Knowledge be applied in the real world?,Should Numerical Knowledge be used to formulate a solution?,Is it best to use Common-Sense Knowledge to solve this problem?
APPLICATION,A factory wants to automate its assembly line to perform tasks that are highly repetitive and dangerous for humans.,How can you use Natural Language Processing in the field of AI?,Where can Expert Systems be used in the field of AI?,What scenario relating to AI can Game Playing be used?,How can Robotics be applied to AI?,How can Robotics be applied to AI?
APPLICATION,You are designing a new AI system and want it to improve its own performance over time by adding new knowledge and refining its existing knowledge base.,In what scenario can The Learning element be a main component of?,How can The Knowledge Representation scheme be used?,Where can The Problem Generator be utilized?,In what situation can The Performance element be suitable?,In what scenario can The Learning element be a main component of?
APPLICATION,A research team wants to bring the concept of embodiment in AI to life.,What would you do if you had a massive database of common-sense facts?,What would you do if you had the ability to process natural language perfectly?,What can a physical or virtual body with sensors to interact with and perceive a world be used for?,What can the use of a neural network with over a billion connections be?,How can a physical or virtual body with sensors to interact with and perceive a world be used?
APPLICATION,A developer wants to create a program that can take a description of a chemical compound in English and identify its molecular structure.,In what situation can you use Game Playing and Robotics in solving real-life problems?,How can you apply Vision Systems and Speech Recognition in coming up with solutions for real-life incidents?,What can you do with Neural Networks and Heuristic Search in creating solutions?,How can you use Natural Language Processing and Expert Systems to formulate solutions for real-life scenarios?,How can you use Natural Language Processing and Expert Systems to formulate solutions for real-life scenarios?
APPLICATION,To overcome the limitations of a single standalone computer and create a more powerful form of intelligence a company decides to network thousands of computers together.,How can you use Distributed Intelligence to surpass the limitations of computers?,How can you use The Turing Test to upgrade the potentiality of computers?,What is the best use of the concept of Embodiment?,How can an expert System be used to go beyond the limits of computers?,How can you use Distributed Intelligence to surpass the limitations of computers?
APPLICATION,Based on the historical development of AI which practical approach allowed the field to advance past philosophical arguments by focusing on solving specific real-world tasks?,For what particular scenario are you pushing for computers to pass the Turing Test for?,What can you do with the creation of expert systems for specialized domains like medicine and chemistry?,What scenario can you think of when it comes to improving the development of the LISP programming language?,If you were to attempt to simulate the entire human brain what situation can you think of that would require this approach?,What can you do with the creation of expert systems for specialized domains like medicine and chemistry?
ANALYSIS,Chess has a limited set of simple and well-defined rules while housekeeping requires a massive amount of common-sense knowledge.,Can you analyze and discuss the reasons why developing a computer-chess player is easier than creating a computer housekeeper?,Can you analyze the reasons why developing a computer housekeeping is easier than creating a computer chess player?,Can you analyze why computers are more intelligent than humans?,Can you discuss why computers can easily learn housekeeping?,Can you analyze and discuss the reasons why developing a computer-chess player is easier than creating a computer housekeeper?
ANALYSIS,The goal of educating a human and a computer is similar because both aim to teach something so that they can develop the ability to apply knowledge for problem-solving.,How is the goal of educating a human different to the goal of artificial intelligence?,How is the goal of educating a human similar to the goal of artificial intelligence?,What is computer and human intelligence?,Why is it important to study human and computer intelligence?,How is the goal of educating a human similar to the goal of artificial intelligence?
ANALYSIS,Cognitive intelligence involves abilities like learning and posing and solving problems which focuses on intellectual tasks. While emotional intelligence involves identifying understanding managing and using emotions.,Can you discuss how cognitive intelligence differ from emotional intelligence?,What are the similarities between cognitive intelligence and emotional intelligence,How does artificial intelligence differ from emotional intelligence,How does artificial intelligence differ from cognitive intelligence,Can you discuss how cognitive intelligence differ from emotional intelligence?
ANALYSIS,Computers lack intuitive understanding of everyday situations that people naturally acquire through experience.,Why do computers struggle with common-sense knowledge compared to humans?,Why do humans struggle with common-sense knowledge compared to computers?,Why are computers more intelligent than humans?,Why are computers more emotionally intelligent than humans?,Why do computers struggle with common-sense knowledge compared to humans?
ANALYSIS,Our senses determine what information we can receive from the world. Human senses only have a limited range of inputs which restricts our perception of what we consider as intelligent behavior.,How do our senses affect our perception of intelligence and why should we not limit intelligence to human senses only?,How do our senses affect our perception of intelligence and why should we limit intelligence to human senses only?,Why do our senses affect our perception?,Why should we limit intelligence to human senses only?,How do our senses affect our perception of intelligence and why should we not limit intelligence to human senses only?
ANALYSIS,If the intelligence of aliens is defined by infrared perceptions then they might not recognize humans as intelligent beings.,From an aliens viewpoint with a main sensory of infrared signal how might their judgement of human intelligence differ compared to how humans view intelligence?,From a humans viewpoint how might their judgement of human intelligence differ compared to how aliens view intelligence?,How do aliens view intelligence?,Why are aliens more intelligent than humans?,From an aliens viewpoint with a main sensory of infrared signal how might their judgement of human intelligence differ compared to how humans view intelligence?
ANALYSIS,Computers are better in speed memory storage and accuracy. They dominate humans when it comes to performing complex calculations quickly.,Compare the characteristics of humans and computers. In what areas do computers dominate humans and vice versa?,Compare the characteristics of humans and computers. Why are computers more superior than humans?,Compare the characteristics of humans and computers. Why are humans more superior than computers?,Compare the characteristics of humans and computers. Why are computers and humans intelligent?,Compare the characteristics of humans and computers. In what areas do computers dominate humans and vice versa?
ANALYSIS,LISP is a symbolic processing language that represents information in lists and manipulates lists to derive information. Prolog uses the syntax of predicate logic to perform symbolic logical computations.,In what ways are LISP and Prolog similar and different as programming languages,What are the characteristics of LISP and Prolog?,Why is Prolog better compared to LISP as a programming language?,How are Prolog and LISP connected to one another?,In what ways are LISP and Prolog similar and different as programming languages
ANALYSIS,Turing proposed that if a human interrogator in a room cannot identify or distinguish a human and a machine then the machine can be considered as intelligent.,Analyze the Turing Test. How does it evaluate intelligence? Why has it received criticism from philosophers and computer scientists?,Analyze the Turing Test. How does it evaluate intelligence? Why was it praised by philosophers and computer scientists?,Analyze the Turing Test. How does it evaluate intelligence?,Analyze the Turing Test. Can you say that it is a viable method to test intelligence?,Analyze the Turing Test. How does it evaluate intelligence? Why has it received criticism from philosophers and computer scientists?
ANALYSIS,The idea of AI was sown long before the development of modern computers. The invention of the electric computer in 1941 and the stored computer program in 1949 led to the creation of the field of computer science and AI.,Analyze the relationship between the development of computers and the emergence of AI. How did they influence each other?,Analyze the relationship between the development of computers and the emergence of AI. Why is AI more important than computers?,Analyze the relationship between the development of computers and the emergence of AI. How are they similar to each other?,Analyze the relationship between the development of computers and the emergence of AI. In what areas are they different?,Analyze the relationship between the development of computers and the emergence of AI. How did they influence each other?
SYNTHESIS,Avoiding drug and alcohol during pregnancy,How would you improve a childs developing intelligence by synthesizing insights from education health and environment?,How would you improve a childs developing emotions by synthesizing insights from education health and environment?,How would you improve a childs developing taste by synthesizing insights from education health and environment?,How would you improve a childs developing sense of smell by synthesizing insights from education health and environment?,How would you improve a childs developing intelligence by synthesizing insights from education health and environment?
SYNTHESIS,A persons IQ score could increase by three points,What would happen if a person drank coffee immediately before taking an IQ test?,What would happen if a person ate an orange before taking an IQ test?,What would happen if a person drank cranberry juice before taking an IQ test?,What would happen if a person drank apple cider before taking an IQ test?,What would happen if a person drank coffee immediately before taking an IQ test?
SYNTHESIS,By asking a human interrogator to interact with both a human and a machine and see if they can tell which is which,How would you test whether a machine can be considered intelligent according to Alan Turings proposal?,How would you test whether a machine can be considered intelligent according to Edgar Allan Poes proposal?,How would you test whether a machine can be considered intelligent according to Eugene Esguerras proposal?,How would you test whether a machine can be considered intelligent according to Aristotles proposal?,How would you test whether a machine can be considered intelligent according to Alan Turings proposal?
SYNTHESIS,Multiple intelligences,Can you propose an alternative to measuring human intelligence with a single IQ number?,Can you propose an alternative to measuring human emotions with a single EQ number?,Can you propose an alternative to measuring human intelligence with two IQ numbers?,Can you propose an alternative to measuring human intelligence with a single EQ number?,Can you propose an alternative to measuring human intelligence with a single IQ number?
SYNTHESIS,The problems in AI systems could not be overcame,Can you predict the outcome if computing power had not continued to follow Moores Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Murphys Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Mooreys Law during the 1980s to 1990?,Can you predict the outcome if computing power had not continued to follow Crowels Law during the 1990s to 2000?,Can you predict the outcome if computing power had not continued to follow Moores Law during the 1990s to 2000?
SYNTHESIS,Funding and interest in AI declined after promised results and expectations have failed to be realized,Can you elaborate on the reason why the 1970s became known as the Dark Ages of AI research?,Can you elaborate on the reason why the 1960s became known as the Dark Ages of AI research?,Can you elaborate on the reason why the 1950s became known as the Dark Ages of AI research?,Can you elaborate on the reason why the 1970s became known as the Golden Ages of AI research?,Can you elaborate on the reason why the 1970s became known as the Dark Ages of AI research?
SYNTHESIS,It was where John McCarthy Marvin Minsky and Claude Shannon laid many of the classical foundations of AI,What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1956?,What facts can you compile about the significance of the get together at Holy Cross College in the Philippines in 1956?,What facts can you compile about the significance of the get together at UP Diliman in 1966?,What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1965?,What facts can you compile about the significance of the get together at Dartmouth College in the USA in 1956?
SYNTHESIS,By considering a beings information-processing process and ability to survive autonomously,What way would you design a fair comparison of intelligence across humans animals and machines?,What way would you design a fair comparison of emotional intelligence across humans animals and machines?,What way would you design a fair comparison of the sense of smell across humans animals and machines?,What way would you design a fair comparison of sense of taste across humans animals and machines?,What way would you design a fair comparison of intelligence across humans animals and machines?
SYNTHESIS,They primarily correlate with exam performance rather than truly measuring intelligence,Can you elaborate on the reason why IQ tests are considered problematic as a measure of intelligence?,Can you elaborate on the reason why EQ tests are considered problematic as a measure of intelligence?,Can you elaborate on the reason why IQ tests are considered helpful as a measure of intelligence?,Can you elaborate on the reason why IQ tests are considered problematic as a measure of emotional intelligence?,Can you elaborate on the reason why IQ tests are considered problematic as a measure of intelligence?
SYNTHESIS,By checking if it is being used in specialized fields to help make discoveries and breakthroughs for important problems,How would you test whether a system is an expert system?,How would you test whether a system is a beginner system?,How would you test whether a system is an expert ecosystem?,How would you test whether a system is a hard system?,How would you test whether a system is an expert system?
EVALUATION,Minsky agrees that AI helps us grasp how knowledge is formed and processed which could redefine how we see humanity.,How would you evaluate that Minsky agrees that computer science and AI allow us to model how knowledge is formed and processed?,How would you evaluate that Minsky agree that AI wont just be about machines it will transform our worldview?,How would you defend how we think and feel through computer models will help humans reflect on their own identity?,How would you defend how knowledge will change our views of Humanity and enable us to change ourselves?,How would you defend how knowledge will change our views of Humanity and enable us to change ourselves?
EVALUATION,Horvitzs 1990 definition that AI is the exploration of methods for solving challenging tasks is the best fit.,How would you defend which definition of AI among Minsky Newell Horvitz is most accurate today?,Can you argue that intelligence is the degree to which a system approximates a knowledge-level system is most accurate?,Can you argue that Minskys definition aligns directly with current AI developments?,How will you support that AIs evolving landscape suggests no single definition is complete without elements of all three?,How would you defend which definition of AI among Minsky Newell Horvitz is most accurate today?
EVALUATION,Separation of philosophical debates from practical AI development in the 1980s helped progress.,Did philosophical issues remain unresolved and detached from practice?,Did the lack of integration leave unanswered theoretical questions?,Neutral because the two schools simply proceeded independently without affecting each other directly.,Did the philosophical issues freed AI developers to focus on real-world solutions?,Did the philosophical issues freed AI developers to focus on real-world solutions?
EVALUATION,The effect of wireless technology had the greatest impact on AI development in the 1990s.,Can you evaluate that wireless technology allows rapid computer-to-computer communication?,How will you support that internet technology enhanced human communication and raised privacy concerns?,How did wireless technology affect memory and information across networks creating shared knowledge capacity?,How will you support specialization within networks that allows different systems to contribute unique strengths?,Can you evaluate that wireless technology allows rapid computer-to-computer communication?
EVALUATION,Distributed intelligence enabling AI systems to collaborate across global networks.,How did the ability for AI to specialize across networks creating collective expertise?,How Did the dispersion of memory and knowledge across multiple systems increasing shared capacity?,Can you Support that cultural and behavioral changes in human communication?,In evaluating long-term effects which outcome of wireless networking remains most critical for AI today?,In evaluating long-term effects which outcome of wireless networking remains most critical for AI today?
EVALUATION,Lack of emotions that guide human decision-making.,In evaluating the differences between humans and computers which factor most limits computers from achieving human-like reasoning?,How do you support the statement that programming is a requirement of programming rather than independent learning?,Can you defend that Discrete nature compared to humans continuous reasoning?,How does Humans have limited memory size and computers have unlimited memory size,In evaluating the differences between humans and computers which factor most limits computers from achieving human-like reasoning?
EVALUATION,Building expert systems to assist users in solving problems.,If you were to prioritize AI development for immediate industrial application which goal would be most appropriate?,Does Creating systems that can explain their reasoning to users solve problems?,Can you support developing AI capable of specialized tasks with accuracy?,Can you evaluate that implementing advisory programs supports human decision-making in real time?,If you were to prioritize AI development for immediate industrial application which goal would be most appropriate?
EVALUATION,Working in stressful and complex environments where humans struggle is one advantage of AI,From an evaluative perspective which advantage shows AIs greatest value in situations beyond human capacity?,In what way does solving long-term or difficult problems where direct methods fail?,Can you Provide consistent error-free outcomes of AI?,Does AI help in performing calculations that exceed human ability?,From an evaluative perspective which advantage shows AIs greatest value in situations beyond human capacity?
EVALUATION,Enabling people to ask questions in their mother tongue and be understood by computers.,Can you choose the best description of NLPs primary goal and justify why it is most important?,How do you Bridge the gap between human communication and machine processing?,How do you defend making computers intelligent enough to understand human speech?,How does allowing computers to produce responses in ordinary human language?,Can you choose the best description of NLPs primary goal and justify why it is most important?
EVALUATION,Modern research findings and determine which evidence best illustrates the complexity of nature and nurture in shaping intelligence.,In relation to AI how can you defend that adoption studies in Denmark show stronger resemblance to biological siblings?,How Does the studies showing the environment after birth influences 40 to 20 percent of intelligence true,How can you defend that polls showing 10 to 80 percent of intelligence attributed to inheritance?,Can you support that research suggesting foetal development accounts for 20 percent of intelligence?,In relation to AI how can you defend that adoption studies in Denmark show stronger resemblance to biological siblings?
